Episode,Step,StepReward,TotalReward,ActionGas,ActionSteer
0,483,0.00218,1.0915,0.19,-0.66
0,484,0.00167,1.0932,0.19,-0.66
0,485,0.00166,1.0949,0.19,-0.66
0,486,0.00127,1.0961,0.06,-0.41
0,487,0.00019,1.0963,0.06,-0.41
0,488,-0.00129,1.0950,0.06,-0.41
0,489,-0.00209,1.0930,0.06,-0.41
0,490,-0.00210,1.0909,0.06,-0.41
0,491,-0.00248,1.0884,0.38,-0.45
0,492,-0.00067,1.0877,0.38,-0.45
0,493,0.00077,1.0885,0.38,-0.45
0,494,0.00203,1.0905,0.38,-0.45
0,495,0.00279,1.0933,0.38,-0.45
0,496,0.00218,1.0955,0.64,0.38
0,497,0.00334,1.0988,0.64,0.38
0,498,0.00340,1.1022,0.64,0.38
0,499,0.00326,1.1055,0.64,0.38
0,500,0.00327,1.1088,0.64,0.38
0,501,0.00206,1.1108,0.28,-0.45
0,502,0.00318,1.1140,0.28,-0.45
0,503,0.00310,1.1171,0.28,-0.45
0,504,0.00322,1.1203,0.28,-0.45
0,505,0.00322,1.1235,0.28,-0.45
0,506,0.00188,1.1254,-0.18,0.43
0,507,0.00176,1.1272,-0.18,0.43
0,508,0.00035,1.1275,-0.18,0.43
0,509,-0.00059,1.1269,-0.18,0.43
0,510,-0.00123,1.1257,-0.18,0.43
0,511,-0.00348,1.1222,0.62,-0.36
0,512,-0.00050,1.1217,0.62,-0.36
0,513,0.00093,1.1227,0.62,-0.36
0,514,0.00185,1.1245,0.62,-0.36
0,515,0.00247,1.1270,0.62,-0.36
0,516,0.00248,1.1295,0.30,-0.28
0,517,0.00264,1.1321,0.30,-0.28
0,518,0.00265,1.1347,0.30,-0.28
0,519,0.00265,1.1374,0.30,-0.28
0,520,0.00260,1.1400,0.30,-0.28
0,521,0.00181,1.1418,-0.11,0.11
0,522,0.00122,1.1430,-0.11,0.11
0,523,-0.00021,1.1428,-0.11,0.11
0,524,-0.00156,1.1413,-0.11,0.11
0,525,-0.00296,1.1383,-0.11,0.11
0,526,-0.00428,1.1340,0.03,0.02
0,527,-0.00296,1.1310,0.03,0.02
0,528,-0.00226,1.1288,0.03,0.02
0,529,-0.00199,1.1268,0.03,0.02
0,530,-0.00198,1.1248,0.03,0.02
0,531,-0.00222,1.1226,0.15,0.11
0,532,-0.00061,1.1220,0.15,0.11
0,533,0.00073,1.1227,0.15,0.11
0,534,0.00131,1.1240,0.15,0.11
0,535,0.00131,1.1253,0.15,0.11
0,536,0.00100,1.1263,0.04,0.27
0,537,0.00057,1.1269,0.04,0.27
0,538,-0.00004,1.1269,0.04,0.27
0,539,-0.00029,1.1266,0.04,0.27
0,540,-0.00026,1.1263,0.04,0.27
0,541,-0.00049,1.1258,-0.15,0.28
0,542,-0.00162,1.1242,-0.15,0.28
0,543,-0.00297,1.1212,-0.15,0.28
0,544,-0.00438,1.1169,-0.15,0.28
0,545,-0.00521,1.1116,-0.15,0.28
0,546,-0.00654,1.1051,0.19,-0.17
0,547,-0.00435,1.1008,0.19,-0.17
0,548,-0.00296,1.0978,0.19,-0.17
0,549,-0.00162,1.0962,0.19,-0.17
0,550,-0.00022,1.0960,0.19,-0.17
0,551,0.00083,1.0968,0.24,-0.12
0,552,0.00178,1.0986,0.24,-0.12
0,553,0.00231,1.1009,0.24,-0.12
0,554,0.00227,1.1031,0.24,-0.12
0,555,0.00228,1.1054,0.24,-0.12
0,556,0.00163,1.1071,0.61,0.14
0,557,0.00244,1.1095,0.61,0.14
0,558,0.00258,1.1121,0.61,0.14
0,559,0.00256,1.1146,0.61,0.14
0,560,0.00256,1.1172,0.61,0.14
0,561,0.00179,1.1190,-0.07,0.05
0,562,0.00119,1.1202,-0.07,0.05
0,563,-0.00015,1.1200,-0.07,0.05
0,564,-0.00149,1.1185,-0.07,0.05
0,565,-0.00283,1.1157,-0.07,0.05
